round,player_id,reputation
1,1,52
1,2,52
1,3,52
1,4,52
1,5,52
1,6,52
1,7,52
1,8,52
1,9,52
1,10,52
2,1,48
2,2,52
2,3,52
2,4,52
2,5,48
2,6,52
2,7,52
2,8,52
2,9,52
2,10,52
3,1,51
3,2,54
3,3,52
3,4,52
3,5,51
3,6,52
3,7,52
3,8,52
3,9,52
3,10,52
4,1,51
4,2,56
4,3,52
4,4,52
4,5,51
4,6,52
4,7,52
4,8,52
4,9,52
4,10,52
5,1,51
5,2,58
5,3,52
5,4,52
5,5,51
5,6,52
5,7,52
5,8,52
5,9,52
5,10,52
6,1,51
6,2,60
6,3,52
6,4,52
6,5,51
6,6,52
6,7,52
6,8,52
6,9,52
6,10,52
7,1,51
7,2,62
7,3,52
7,4,52
7,5,51
7,6,52
7,7,52
7,8,52
7,9,52
7,10,52
8,1,51
8,2,64
8,3,52
8,4,52
8,5,51
8,6,52
8,7,52
8,8,52
8,9,52
8,10,52
9,1,51
9,2,66
9,3,54
9,4,52
9,5,51
9,6,52
9,7,52
9,8,52
9,9,52
9,10,52
10,1,51
10,2,68
10,3,56
10,4,52
10,5,51
10,6,52
10,7,52
10,8,52
10,9,52
10,10,52
11,1,51
11,2,70
11,3,58
11,4,52
11,5,51
11,6,52
11,7,52
11,8,52
11,9,52
11,10,52
12,1,51
12,2,72
12,3,60
12,4,52
12,5,51
12,6,52
12,7,52
12,8,52
12,9,52
12,10,52
13,1,51
13,2,68
13,3,60
13,4,52
13,5,51
13,6,52
13,7,52
13,8,52
13,9,52
13,10,52
14,1,51
14,2,71
14,3,60
14,4,52
14,5,47
14,6,52
14,7,52
14,8,52
14,9,52
14,10,52
15,1,51
15,2,71
15,3,60
15,4,52
15,5,50
15,6,52
15,7,52
15,8,52
15,9,52
15,10,52
16,1,51
16,2,71
16,3,60
16,4,52
16,5,50
16,6,52
16,7,52
16,8,52
16,9,52
16,10,52
17,1,51
17,2,71
17,3,60
17,4,52
17,5,50
17,6,52
17,7,52
17,8,52
17,9,52
17,10,52
18,1,51
18,2,71
18,3,60
18,4,52
18,5,50
18,6,52
18,7,52
18,8,52
18,9,52
18,10,52
19,1,51
19,2,71
19,3,60
19,4,52
19,5,50
19,6,52
19,7,52
19,8,52
19,9,52
19,10,52
20,1,51
20,2,71
20,3,60
20,4,52
20,5,50
20,6,52
20,7,52
20,8,52
20,9,52
20,10,52
21,1,51
21,2,71
